block;cfg_no;file;label;red;ir;avg;adc;samples_raw;duration_s;hz;ref_bpm;ref_count;orig_bpm;orig_fft;orig_autocorr;orig_quality;orig_art_ir_pct;orig_pi_ir_pct;orig_diff_bpm;strict_retained_pct;strict_discard_pct;strict_bpm;strict_fft;strict_autocorr;strict_quality;strict_diff_bpm;strict_pi_ir_pct;strict_pi_red_pct;strict_saturation_pct;win15_bpm_median;win15_bpm_iqr;win15_valid;win15_total;strict_score;strict_eval_bpm;strict_eval_diff_bpm;strict_score_eval_fft
20260603_123040;1;raw_BLOQUE_12CFG_184_20260603_123040_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384.csv;3M 01 - RED31 IR31 AVG1 ADC16384;31;31;1;16384;1945;48.739;39.886;85.0;2;111.15;110.61;180.51;50.05;1.94;0.044;25.61;84.13;15.87;176.96;111.18;176.96;36.89;26.18;0.0287;0.0668;0.0;119.7;6.63;3;6;29.76;111.18;26.18;17.41
20260603_123040;2;raw_BLOQUE_12CFG_184_20260603_123040_CFG002_3M_02_-_RED63_IR63_AVG1_ADC16384.csv;3M 02 - RED63 IR63 AVG1 ADC16384;63;63;1;16384;1945;48.741;39.884;79.5;2;75.37;75.37;46.02;24.01;0.0;0.0142;4.13;100.0;0.0;74.78;74.78;46.02;24.95;4.72;0.0141;0.0311;0.0;;;0;7;50.51;74.78;4.72;53.06
20260603_123040;3;raw_BLOQUE_12CFG_184_20260603_123040_CFG003_3M_03_-_RED127_IR127_AVG1_ADC16384.csv;3M 03 - RED127 IR127 AVG1 ADC16384;127;127;1;16384;1944;48.712;39.887;79.5;2;45.27;45.27;181.48;25.82;1.42;0.029;34.23;95.87;4.13;175.31;45.92;175.31;35.97;33.58;0.0284;0.0244;0.0;66.4;0.0;1;7;37.37;45.92;33.58;25.24
20260603_123040;4;raw_BLOQUE_12CFG_184_20260603_123040_CFG004_3M_04_-_RED199_IR159_AVG1_ADC16384.csv;3M 04 - RED199 IR159 AVG1 ADC16384;199;159;1;16384;1945;48.743;39.882;85.0;2;93.71;90.44;92.04;40.16;0.0;0.0086;5.44;99.25;0.75;92.3;90.52;94.98;43.25;5.52;0.0084;0.0111;0.0;92.21;0.86;5;7;68.79;90.52;5.52;68.86
20260603_123040;5;raw_BLOQUE_12CFG_184_20260603_123040_CFG005_3M_05_-_RED199_IR159_AVG2_ADC16384.csv;3M 05 - RED199 IR159 AVG2 ADC16384;199;159;2;16384;947;47.44;19.941;82.5;2;81.38;81.38;;23.32;0.0;0.0096;1.12;100.0;0.0;82.34;82.34;;27.23;0.16;0.0096;0.0141;0.0;86.87;0.0;1;7;70.18;82.34;0.16;69.94
20260603_123040;6;raw_BLOQUE_12CFG_184_20260603_123040_CFG006_3M_06_-_RED199_IR159_AVG4_ADC16384.csv;3M 06 - RED199 IR159 AVG4 ADC16384;199;159;4;16384;448;44.815;9.974;82.5;2;88.04;84.83;171.43;47.63;0.0;0.0087;2.33;100.0;0.0;86.3;84.59;171.43;48.95;2.09;0.0087;0.0103;0.0;78.91;3.66;3;6;72.04;84.59;2.09;71.85
20260603_123040;7;raw_BLOQUE_12CFG_184_20260603_123040_CFG007_3M_07_-_RED199_IR159_AVG4_ADC8192.csv;3M 07 - RED199 IR159 AVG4 ADC8192;199;159;4;8192;448;44.818;9.974;83.5;2;80.73;80.73;171.43;24.26;0.0;0.0081;2.77;100.0;0.0;80.29;80.29;171.43;28.03;3.21;0.0082;0.0094;0.0;80.88;0.0;1;6;67.21;80.29;3.21;67.03
20260603_123040;8;raw_BLOQUE_12CFG_184_20260603_123040_CFG008_3M_08_-_RED199_IR159_AVG2_ADC8192.csv;3M 08 - RED199 IR159 AVG2 ADC8192;199;159;2;8192;947;47.447;19.938;81.0;2;171.43;86.54;171.43;44.15;2.16;0.1006;5.54;63.84;36.16;79.29;79.29;85.71;33.15;1.71;0.008;0.0118;0.0;80.0;0.0;1;3;41.52;79.29;1.71;47.37
20260603_123040;9;raw_BLOQUE_12CFG_184_20260603_123040_CFG009_3M_09_-_RED159_IR159_AVG4_ADC16384.csv;3M 09 - RED159 IR159 AVG4 ADC16384;159;159;4;16384;448;44.815;9.974;78.5;2;87.03;88.94;85.71;46.52;0.0;0.0081;10.44;100.0;0.0;87.29;88.89;85.71;53.5;10.39;0.0081;0.0131;0.0;85.11;7.05;4;6;62.0;88.89;10.39;61.79
20260603_123040;10;raw_BLOQUE_12CFG_184_20260603_123040_CFG010_3M_10_-_RED159_IR159_AVG4_ADC8192.csv;3M 10 - RED159 IR159 AVG4 ADC8192;159;159;4;8192;448;44.817;9.974;78.5;2;171.43;69.78;171.43;26.23;18.04;0.0261;8.72;79.44;20.56;70.91;70.91;171.43;27.46;7.59;0.008;0.0099;0.0;85.71;0.0;1;4;45.16;70.91;7.59;45.66
20260603_123040;11;raw_BLOQUE_12CFG_184_20260603_123040_CFG011_3M_11_-_RED199_IR159_AVG1_ADC8192.csv;3M 11 - RED199 IR159 AVG1 ADC8192;199;159;1;8192;1944;48.714;39.886;77.5;2;84.39;50.3;181.77;31.19;1.26;0.1072;27.2;96.73;3.27;176.82;60.39;176.82;38.0;17.11;0.1039;0.5452;0.0;71.33;6.97;3;7;54.59;60.39;17.11;40.95
20260603_123040;12;raw_BLOQUE_12CFG_184_20260603_123040_CFG012_3M_12_-_RED159_IR159_AVG2_ADC16384.csv;3M 12 - RED159 IR159 AVG2 ADC16384;159;159;2;16384;947;47.442;19.94;80.0;2;100.0;87.84;85.71;29.21;0.0;0.0087;7.84;99.12;0.88;89.1;88.54;85.71;50.84;8.54;0.0088;0.0158;0.0;88.6;4.81;4;7;64.53;88.54;8.54;64.58
20260603_124425;1;raw_BLOQUE_12CFG_184_20260603_124425_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384.csv;3M 01 - RED31 IR31 AVG1 ADC16384;31;31;1;16384;1944;48.711;39.888;74.33;3;46.53;46.53;180.91;21.19;1.73;0.0786;27.8;85.84;14.16;71.22;71.22;186.72;22.59;3.11;0.0727;0.0716;0.0;130.2;21.38;2;7;42.82;71.22;3.11;44.94
20260603_124425;2;raw_BLOQUE_12CFG_184_20260603_124425_CFG002_3M_02_-_RED59_IR47_AVG1_ADC16384.csv;3M 02 - RED59 IR47 AVG1 ADC16384;59;47;1;16384;1945;48.744;39.882;71.33;3;72.89;72.89;184.07;24.28;0.0;0.07;1.56;99.62;0.38;72.15;72.15;183.36;27.95;0.82;0.0669;0.0238;0.0;122.57;24.65;4;7;57.03;72.15;0.82;59.26
20260603_124425;3;raw_BLOQUE_12CFG_184_20260603_124425_CFG003_3M_03_-_RED95_IR95_AVG1_ADC16384.csv;3M 03 - RED95 IR95 AVG1 ADC16384;95;95;1;16384;1944;48.718;39.882;70.0;3;67.9;67.9;184.07;24.41;0.0;0.0779;2.1;100.0;0.0;125.94;68.26;184.07;28.01;1.74;0.0771;0.0181;0.0;139.55;13.69;4;7;58.0;68.26;1.74;46.74
20260603_124425;4;raw_BLOQUE_12CFG_184_20260603_124425_CFG004_3M_04_-_RED199_IR159_AVG1_ADC16384.csv;3M 04 - RED199 IR159 AVG1 ADC16384;199;159;1;16384;1944;48.72;39.881;70.67;3;69.16;69.16;184.07;24.21;0.0;0.0742;1.51;99.25;0.75;131.19;69.57;181.64;28.85;1.1;0.0809;0.0161;0.0;125.97;53.78;5;7;57.08;69.57;1.1;47.37
20260603_124425;5;raw_BLOQUE_12CFG_184_20260603_124425_CFG005_3M_05_-_RED199_IR159_AVG2_ADC16384.csv;3M 05 - RED199 IR159 AVG2 ADC16384;199;159;2;16384;947;47.448;19.938;70.0;3;171.43;64.59;171.43;54.51;0.0;0.0861;5.41;100.0;0.0;171.43;64.79;171.43;53.06;5.21;0.0867;0.017;0.0;171.43;52.32;7;7;62.34;64.79;5.21;52.3
20260603_124425;6;raw_BLOQUE_12CFG_184_20260603_124425_CFG006_3M_06_-_RED199_IR159_AVG4_ADC16384.csv;3M 06 - RED199 IR159 AVG4 ADC16384;199;159;4;16384;448;44.82;9.973;65.0;2;171.43;47.55;171.43;18.87;39.5;0.0859;17.45;59.35;40.65;171.43;46.72;171.43;53.33;18.28;0.0878;0.0159;0.0;171.43;0.0;3;3;34.38;46.72;18.28;28.34
20260603_124425;7;raw_BLOQUE_12CFG_184_20260603_124425_CFG007_3M_07_-_RED199_IR159_AVG4_ADC8192.csv;3M 07 - RED199 IR159 AVG4 ADC8192;199;159;4;8192;448;44.821;9.973;70.33;3;171.43;50.63;171.43;46.84;0.0;0.064;19.71;92.52;7.48;171.43;71.68;171.43;47.0;1.35;0.0587;0.0319;0.0;171.43;8.04;6;6;64.01;71.68;1.35;51.56
20260603_124425;8;raw_BLOQUE_12CFG_184_20260603_124425_CFG008_3M_08_-_RED199_IR159_AVG1_ADC8192.csv;3M 08 - RED199 IR159 AVG1 ADC8192;199;159;1;8192;1944;48.72;39.881;71.0;3;45.27;45.27;182.13;24.47;1.05;0.2402;25.73;71.89;28.11;68.16;68.16;184.07;33.36;2.84;0.0741;0.0298;0.0;113.88;0.0;1;4;48.8;68.16;2.84;49.6
20260603_124425;9;raw_BLOQUE_12CFG_184_20260603_124425_CFG009_3M_09_-_RED199_IR159_AVG2_ADC8192.csv;3M 09 - RED199 IR159 AVG2 ADC8192;199;159;2;8192;947;47.446;19.938;66.67;3;171.43;71.04;171.43;51.8;0.0;0.0712;4.38;98.46;1.54;171.43;70.67;171.43;40.94;4.0;0.0714;0.0129;0.0;133.33;81.92;7;7;57.26;70.67;4.0;47.78
20260603_124425;10;raw_BLOQUE_12CFG_184_20260603_124425_CFG010_3M_10_-_RED159_IR159_AVG2_ADC16384.csv;3M 10 - RED159 IR159 AVG2 ADC16384;159;159;2;16384;947;47.446;19.938;73.33;3;171.43;89.13;171.43;50.18;0.0;0.0597;15.79;99.23;0.77;171.43;89.09;171.43;50.14;15.76;0.0602;0.0221;0.0;171.43;0.0;7;7;64.21;89.09;15.76;51.65
20260603_124425;11;raw_BLOQUE_12CFG_184_20260603_124425_CFG011_3M_11_-_RED159_IR159_AVG2_ADC8192.csv;3M 11 - RED159 IR159 AVG2 ADC8192;159;159;2;8192;947;47.445;19.939;77.33;3;171.43;73.63;171.43;53.64;0.0;0.0683;3.71;97.35;2.65;171.43;72.89;171.43;48.16;4.44;0.0903;0.0321;0.0;171.43;0.0;7;7;74.74;72.89;4.44;61.89
20260603_124425;12;raw_BLOQUE_12CFG_184_20260603_124425_CFG012_3M_12_-_RED159_IR159_AVG1_ADC16384.csv;3M 12 - RED159 IR159 AVG1 ADC16384;159;159;1;16384;1943;48.704;39.874;72.0;3;71.7;71.7;184.03;27.19;0.0;0.0716;0.3;100.0;0.0;70.91;70.91;184.03;23.67;1.09;0.0721;0.0194;0.0;90.87;35.69;4;7;55.66;70.91;1.09;57.75
20260602_ConVacio;1;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG001_CONFIG_01_-_B1F_AVG1_ADC8192.csv;CONFIG 01 - B1F_AVG1_ADC8192;31;31;1;8192;1146;28.698;39.899;;0;77.36;73.66;77.22;50.99;0.0;0.0455;;100.0;0.0;78.27;74.67;77.22;50.12;;0.0458;0.0255;0.0;77.13;0.18;2;3;44.96;74.67;;39.25
20260602_ConVacio;2;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG002_CONFIG_02_-_B1F_AVG1_ADC16384.csv;CONFIG 02 - B1F_AVG1_ADC16384;31;31;1;16384;1147;28.728;39.891;;0;75.74;75.74;85.48;31.12;0.0;0.0466;;99.34;0.66;88.04;74.65;84.9;29.64;;0.0451;0.0344;0.0;;;0;3;22.65;74.65;;20.09
20260602_ConVacio;3;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG003_CONFIG_03_-_B1F_AVG4_ADC8192.csv;CONFIG 03 - B1F_AVG4_ADC8192;31;31;4;8192;250;33.931;7.338;;0;171.43;79.52;171.43;30.35;2.01;0.0511;;97.19;2.81;171.43;77.82;171.43;36.38;;0.0557;0.0265;0.0;83.75;3.75;2;2;34.61;77.82;;17.18
20260602_ConVacio;4;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG004_CONFIG_04_-_B1F_AVG4_ADC16384.csv;CONFIG 04 - B1F_AVG4_ADC16384;31;31;4;16384;250;34.123;7.297;;0;67.47;67.47;171.43;25.91;0.0;0.0399;;100.0;0.0;67.78;67.78;171.43;25.95;;0.0405;0.0316;0.0;;;0;2;21.65;67.78;;18.93
20260602_ConVacio;5;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG005_CONFIG_05_-_B3F_AVG1_ADC8192.csv;CONFIG 05 - B3F_AVG1_ADC8192;63;63;1;8192;1147;47.815;23.967;;0;84.74;83.62;184.13;62.79;0.0;0.0415;;100.0;0.0;82.44;82.32;184.13;67.58;;0.0422;0.0183;0.0;83.28;1.04;2;3;49.85;82.32;;42.59
20260602_ConVacio;6;raw_BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG006_CONFIG_06_-_B3F_AVG1_ADC16384.csv;CONFIG 06 - B3F_AVG1_ADC16384;63;63;1;16384;1149;35.409;32.421;;0;76.9;75.18;181.53;60.89;1.39;0.0469;;97.91;2.09;179.28;75.74;179.28;27.01;;0.0457;0.0268;0.0;79.84;0.0;1;3;35.31;75.74;;17.95
