bloque;cfg;config;red;ir;avg;adc;ref;bpm;diff;spo2;ratio;pi_red;pi_ir;dc_red;dc_ir;ret;disc;sat;ready;spo2_score;quality;file
03_123040;1;RED31 IR31 AVG1 ADC16384;31;31;1;16384;85.0;150.07;65.07;0.0;2.2932;0.066;0.0288;2917.1;8854.2;84.13;15.87;0.0;NO;4.06;0.0;raw_BLOQUE_12CFG_184_20260603_123040_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384.csv
03_123040;2;RED63 IR63 AVG1 ADC16384;63;63;1;16384;79.5;75.7;3.8;0.0;2.1885;0.031;0.0142;6104.2;18882.1;100.0;0.0;0.0;NO;20.0;18.99;raw_BLOQUE_12CFG_184_20260603_123040_CFG002_3M_02_-_RED63_IR63_AVG1_ADC16384.csv
03_123040;3;RED127 IR127 AVG1 ADC16384;127;127;1;16384;79.5;46.22;33.28;88.35;0.8444;0.0247;0.0292;12488.5;38815.4;95.87;4.13;0.0;NO;49.93;20.83;raw_BLOQUE_12CFG_184_20260603_123040_CFG003_3M_03_-_RED127_IR127_AVG1_ADC16384.csv
03_123040;4;RED199 IR159 AVG1 ADC16384;199;159;1;16384;85.0;89.86;4.86;54.59;1.3403;0.0113;0.0084;19546.8;48386.3;99.25;0.75;0.0;NO;31.62;45.4;raw_BLOQUE_12CFG_184_20260603_123040_CFG004_3M_04_-_RED199_IR159_AVG1_ADC16384.csv
03_123040;5;RED199 IR159 AVG2 ADC16384;199;159;2;16384;82.5;81.85;0.65;41.17;1.479;0.0142;0.0096;19581.8;48456.3;100.0;0.0;0.0;NO;32.0;20.75;raw_BLOQUE_12CFG_184_20260603_123040_CFG005_3M_05_-_RED199_IR159_AVG2_ADC16384.csv
03_123040;6;RED199 IR159 AVG4 ADC16384;199;159;4;16384;82.5;85.41;2.91;66.45;1.1991;0.0104;0.0087;19630.4;48567.0;100.0;0.0;0.0;NO;32.0;48.94;raw_BLOQUE_12CFG_184_20260603_123040_CFG006_3M_06_-_RED199_IR159_AVG4_ADC16384.csv
03_123040;7;RED199 IR159 AVG4 ADC8192;199;159;4;8192;83.5;79.81;3.69;69.56;1.1581;0.0094;0.0082;39813.8;97536.3;100.0;0.0;0.0;NO;32.0;18.82;raw_BLOQUE_12CFG_184_20260603_123040_CFG007_3M_07_-_RED199_IR159_AVG4_ADC8192.csv
03_123040;8;RED199 IR159 AVG2 ADC8192;199;159;2;8192;81.0;78.45;2.55;29.42;1.588;0.0157;0.0099;39191.4;95799.1;63.84;36.16;0.0;NO;20.0;0.0;raw_BLOQUE_12CFG_184_20260603_123040_CFG008_3M_08_-_RED199_IR159_AVG2_ADC8192.csv
03_123040;9;RED159 IR159 AVG4 ADC16384;159;159;4;16384;78.5;79.81;1.31;26.38;1.6146;0.0131;0.0081;15489.7;48110.2;100.0;0.0;0.0;NO;32.0;42.64;raw_BLOQUE_12CFG_184_20260603_123040_CFG009_3M_09_-_RED159_IR159_AVG4_ADC16384.csv
03_123040;10;RED159 IR159 AVG4 ADC8192;159;159;4;8192;78.5;70.59;7.91;62.42;1.2495;0.0102;0.0081;31432.9;96868.2;79.44;20.56;0.0;NO;21.72;0.0;raw_BLOQUE_12CFG_184_20260603_123040_CFG010_3M_10_-_RED159_IR159_AVG4_ADC8192.csv
