session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;red_proc_norm;ir_proc_norm;artifact_red;artifact_ir;peak_ir;bpm_rolling_5s;spo2_rolling_5s;ratio_r_rolling_5s;quality_rolling_5s
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;1;0.000000;98462;91936;30.86;2274;0.52037;0.37895;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;2;0.020553;98479;91959;30.68;2267;0.69058;0.53635;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;3;0.050115;98478;91978;31.56;2300;0.92994;0.73969;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;4;0.070133;98484;91989;31.40;2294;1.05202;0.95018;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;5;0.100157;98489;92012;30.86;2274;1.24545;1.14256;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;6;0.120165;98494;92025;31.64;2303;1.43253;1.23213;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;7;0.150342;98499;92007;31.61;2302;1.60158;1.00684;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;8;0.170703;98502;91943;31.18;2286;1.17034;0.38149;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;9;0.200481;98450;91846;31.16;2285;0.43422;-0.42697;0;0;0;;;;
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG011_3M_11_-_RED127_IR127_AVG1_ADC16384;experimento_3m;Experimento 3M: optimizacion adaptativa con BPM manual, PPG y SpO2;3M 11 - RED127 IR127 AVG1 ADC16384;10;0.220339;98426;91778;31.64;2303;-0.62091;-1.20526;0;0;0;;;;
