session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;red_proc_norm;ir_proc_norm;artifact_red;artifact_ir;peak_ir;bpm_rolling_5s;spo2_rolling_5s;ratio_r_rolling_5s;quality_rolling_5s
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;1;0.000000;4912;12015;31.00;2279;-0.96519;-1.20074;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;2;0.019947;4906;12014;32.99;2353;-0.83789;-1.07031;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;3;0.049999;4913;12018;30.84;2273;-1.63398;-1.39562;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;4;0.070286;4907;12011;31.18;2286;-1.04879;-1.17041;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;5;0.100160;4910;12019;30.41;2257;-1.22738;-1.44339;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;6;0.120339;4912;12015;31.24;2288;-0.49779;-1.41533;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;7;0.150312;4912;12013;30.92;2276;-0.22040;-1.68755;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;8;0.170293;4912;12016;31.05;2281;0.06460;-1.83997;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;9;0.200511;4914;12014;30.54;2262;-0.41419;-1.62386;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;10;0.220608;4909;12018;31.50;2298;-0.12160;-1.71713;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;11;0.250656;4914;12016;30.23;2250;-0.45409;-1.37590;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;12;0.270740;4912;12021;30.86;2274;0.12920;-1.89305;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;13;0.300784;4913;12011;31.50;2298;-0.06460;-2.46858;0;0;0;;;;
BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;184__Left;BLOQUE_5CFG_184__Left_20260608_133045_CFG004_CONFIG_04_-_B1F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B1F_AVG1_ADC16384;14;0.321368;4913;12008;31.40;2294;-0.40659;-2.86365;0;0;0;;;;
