session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;red_proc_norm;ir_proc_norm;artifact_red;artifact_ir;peak_ir;bpm_rolling_5s;spo2_rolling_5s;ratio_r_rolling_5s;quality_rolling_5s
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;1;0.000000;12061;25942;30.20;2249;0.41349;-0.17574;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;2;0.020717;12068;25941;31.26;2289;0.66472;-0.07757;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;3;0.050293;12064;25945;30.57;2263;1.16227;-0.05347;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;4;0.070478;12067;25943;30.94;2277;1.34800;0.07582;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;5;0.100667;12070;25945;31.58;2301;1.37440;0.24368;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;6;0.120600;12064;25950;31.21;2287;1.40470;0.27085;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;7;0.150914;12067;25944;30.49;2260;0.88173;0.47596;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;8;0.171058;12063;25951;31.26;2289;1.31281;0.61094;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;9;0.201312;12069;25954;30.78;2271;1.82504;0.92474;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;10;0.221478;12073;25953;30.44;2258;2.34117;1.06499;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;11;0.251568;12069;25955;30.44;2258;2.54058;1.06542;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;12;0.271894;12071;25954;30.92;2276;1.78789;1.10048;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;13;0.301850;12063;25954;30.97;2278;1.50245;0.99355;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;14;0.322086;12065;25952;29.62;2227;0.74194;0.84848;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;15;0.352112;12061;25950;30.38;2256;0.45455;0.77442;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;16;0.372003;12059;25952;30.65;2266;0.40958;0.69772;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;17;0.402460;12064;25950;30.04;2243;0.68524;0.80027;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;18;0.422457;12064;25953;31.21;2287;0.96579;0.69334;0;0;0;;;;
BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;184;BLOQUE_8CFG_184_20260610_141601_CFG002_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;RIGHT;CONFIG 03 - B3F_AVG4_ADC16384;19;0.452776;12062;25949;31.10;2283;0.92865;0.48122;0;0;0;;;;
