session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;1;0.000000;14723;54645;34.28;2400;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.825
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;2;0.020184;14721;54644;34.92;2423;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.825
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;3;0.050490;14722;54633;35.42;2441;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.871
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;4;0.070066;14722;54633;34.95;2424;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.871
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;5;0.100661;14717;54622;34.78;2418;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.920
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;6;0.121314;14718;54608;34.50;2408;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.920
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;7;0.151029;14714;54594;34.67;2414;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.967
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;8;0.171575;14710;54582;35.03;2427;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:48.968
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;9;0.201208;14703;54569;34.72;2416;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:49.017
BLOQUE_12CFG_184_20260609_135447;184;BLOQUE_12CFG_184_20260609_135447;configurations;LEFT;CONFIG 01 - B7F_AVG4_ADC16384;10;0.221725;14698;54557;33.07;2356;63;127;4;800;411;16384;50;0;70;;;confirmada;2026-06-09T13:54:49.017
