session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;cfg_confirmacion;system_time
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;1;0.000000;24926;9437;24.66;2034;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;2;0.030107;12330;4667;24.26;2018;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;3;0.050690;12336;4664;24.91;2044;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;4;0.080400;12331;4667;24.66;2034;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;5;0.099800;12325;4669;24.63;2033;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;6;0.130401;12321;4667;24.96;2046;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;7;0.150576;12325;4671;24.66;2034;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;8;0.180480;12328;4668;25.67;2074;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;9;0.200969;12330;4665;23.70;1996;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;10;0.230790;12331;4669;24.71;2036;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;11;0.250168;12320;4662;25.44;2065;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;12;0.280833;12323;4664;24.51;2028;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;13;0.301250;12323;4661;23.48;1987;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;SIN_CROTAL;BLOQUE_12CFG_SIN_CROTAL_20260601_141833_CFG010_CONFIG_10_-_B7F_AVG1_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 10 - B7F_AVG1_ADC16384;14;0.330916;12330;4663;23.85;2002;127;127;1;100;411;16384;50;0;confirmada;2026-06-01T14:20:33.729
