session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;cfg_confirmacion;system_time
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;1;0.000000;18890;44697;29.54;2224;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;2;8.435930;38196;89989;30.57;2263;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;3;8.516510;38192;89933;30.76;2270;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;4;8.636464;38177;89782;30.23;2250;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;5;8.717313;38168;89757;29.54;2224;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;6;8.837135;38156;89733;30.46;2259;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;7;8.917323;38152;89703;30.73;2269;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;8;9.037754;38143;89648;30.60;2264;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;9;9.117963;38142;89629;30.36;2255;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;184_ConVacio;BLOQUE_16CFG_184_ConVacio_20260602_130526_CFG015_CONFIG_15-B5F_AVG4_ADC8192;configurations;toma con tabla personalizada de configuraciones;CONFIG 15-B5F_AVG4_ADC8192;10;9.238255;38127;89594;30.57;2263;95;95;4;100;411;8192;50;0;confirmada;2026-06-02T13:16:09.048
