session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;cfg_confirmacion;system_time
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;1;0.000000;5581;1950;25.01;2048;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.131
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;2;0.020454;5579;1957;25.04;2049;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.179
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;3;0.049951;5580;1954;24.73;2037;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.179
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;4;0.070059;5588;1951;25.29;2059;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.227
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;5;0.100125;5582;1952;24.13;2013;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.227
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;6;0.120057;5585;1949;25.44;2065;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.269
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;7;0.150232;5589;1953;25.19;2055;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.269
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;8;0.170233;5585;1958;25.57;2070;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.318
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;9;0.200455;5577;1956;25.16;2054;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.318
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;10;0.220618;5584;1952;25.32;2060;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.377
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;11;0.250488;5590;1960;25.11;2052;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.378
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;12;0.270503;5572;1949;24.71;2036;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.410
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;13;0.300569;5572;1942;24.16;2014;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.459
BLOQUE_16CFG_SIN_CROTAL_20260602_130033;SIN_CROTAL;BLOQUE_16CFG_SIN_CROTAL_20260602_130033;scheduled;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC8192;14;0.321188;5599;1952;24.81;2040;31;31;1;100;411;8192;50;0;confirmada;2026-06-02T13:00:35.459
