session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;1;0.000000;27964;64995;34.89;2422;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:10.558
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;2;0.079738;27983;65021;34.92;2423;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:10.655
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;3;0.200627;27989;65104;35.31;2437;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:10.799
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;4;0.280587;28011;65158;36.22;2469;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:10.847
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;5;0.401193;28008;65189;34.98;2425;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:10.991
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;6;0.480871;28031;65243;34.28;2400;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:11.072
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;7;0.601878;28041;65265;34.53;2409;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:11.167
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;8;0.682406;28052;65288;34.03;2391;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:11.264
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;9;0.802400;28057;65298;34.45;2406;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:11.359
BLOQUE_4CFG_184_right_20260608_140005;184_right;BLOQUE_4CFG_184_right_20260608_140005;configurations;toma con tabla personalizada de configuraciones;CONFIG 01 - B1F_AVG1_ADC16384;10;0.882633;28057;65292;34.81;2419;127;127;4;100;411;16384;50;0;79;;;confirmada;2026-06-08T14:00:11.457
