session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;1;0.000000;3903;12230;34.75;2417;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;2;0.080942;3904;12226;35.73;2452;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;3;0.200797;3901;12217;35.79;2454;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;4;0.281215;3901;12213;35.79;2454;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;5;0.401460;3900;12211;36.13;2466;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;6;0.482187;3900;12204;35.79;2454;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;7;0.602081;3895;12197;34.86;2421;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;8;0.681733;3896;12190;35.79;2454;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;9;0.802548;3893;12170;35.71;2451;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;10;0.882830;3894;12157;35.57;2446;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;184__Right;BLOQUE_5CFG_184__Right_20260608_133710_CFG005_CONFIG_05_-_B1F_AVG1_ADC16385;configurations;toma con tabla personalizada de configuraciones;CONFIG 05 - B1F_AVG1_ADC16385;11;1.003150;3892;12140;35.20;2433;31;31;4;100;411;16384;50;0;77;88;;confirmada;2026-06-08T13:41:35.012
