session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;1;0.000000;46863;41360;30.89;2275;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;2;0.020573;46871;41376;31.34;2292;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;3;0.050223;46872;41410;30.78;2271;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;4;0.070252;46879;41432;30.81;2272;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;5;0.100589;46893;41477;30.09;2245;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;6;0.120712;46906;41499;30.65;2266;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;7;0.150817;46915;41534;30.20;2249;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;8;0.171360;46934;41553;31.16;2285;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;9;0.201212;46946;41600;31.53;2299;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;10;0.220928;46957;41633;30.38;2256;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;11;0.251588;46987;41673;30.86;2274;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;12;0.271881;46992;41683;31.16;2285;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG003_CONFIG_03_-_B3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 03 - B3F_AVG4_ADC16384;13;0.301782;46995;41697;30.25;2251;63;63;4;800;411;16384;50;0;65;65;;confirmada;2026-06-09T12:22:55.495
