session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;1;0.000000;46648;62316;31.29;2290;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;2;0.019941;46640;62321;31.08;2282;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;3;0.050137;46649;62334;30.12;2246;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;4;0.070537;46660;62327;31.48;2297;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;5;0.100569;46654;62293;31.10;2283;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;6;0.120885;46645;62251;30.81;2272;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;7;0.150855;46631;62207;31.24;2288;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;8;0.170486;46624;62178;30.86;2274;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;9;0.201191;46610;62154;30.89;2275;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;SIN_CROTAL;BLOQUE_7CFG_SIN_CROTAL_20260609_121839_CFG004_CONFIG_04_-_B5_3F_AVG4_ADC16384;configurations;toma con tabla personalizada de configuraciones;CONFIG 04 - B5/3F_AVG4_ADC16384;10;0.221746;46598;62135;30.28;2252;63;95;4;800;411;16384;50;0;65;68;;confirmada;2026-06-09T12:22:55.669
