session_id;id;base_name;modo;condiciones_medida;config_label;sample_index;tiempo_s;red_raw;ir_raw;temp_c;temp_raw;cfg_red;cfg_ir;cfg_avg;cfg_rate;cfg_width;cfg_adc;cfg_skip;cfg_debug;pulso_previo;pulso_final_pulsio;pulso_final_fonendo;cfg_confirmacion;system_time
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;1;0.000000;49872;42973;32.31;2328;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.739
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;2;0.020464;49881;42977;32.55;2337;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.739
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;3;0.050178;49879;42979;31.66;2304;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.786
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;4;0.069894;49875;42972;31.96;2315;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.786
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;5;0.100471;49873;42974;32.69;2342;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.834
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;6;0.120525;49870;42964;32.04;2318;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.834
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;7;0.150862;49863;42961;32.26;2326;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.882
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;8;0.171472;49865;42954;32.36;2330;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.925
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;9;0.201240;49856;42949;32.50;2335;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.925
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;10;0.221223;49853;42952;32.18;2323;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.970
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;11;0.251525;49850;42945;31.37;2293;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:58.970
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;12;0.271526;49852;42946;31.91;2313;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.017
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;13;0.301666;49845;42942;32.69;2342;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.017
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;14;0.321641;49842;42939;31.85;2311;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.065
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;15;0.352083;49836;42936;32.18;2323;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.065
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;16;0.372119;49834;42934;32.42;2332;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.113
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;17;0.402472;49827;42922;32.74;2344;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.161
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;18;0.422392;49831;42922;32.58;2338;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.161
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;19;0.452711;49823;42924;32.20;2324;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.208
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;20;0.473178;49826;42922;31.61;2302;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.208
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;21;0.503066;49828;42918;31.48;2297;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.256
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;22;0.523674;49822;42916;32.47;2334;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.256
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;23;0.553301;49818;42913;32.91;2350;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.303
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;24;0.573955;49814;42904;32.12;2321;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.303
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;25;0.603635;49807;42891;32.31;2328;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.351
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;26;0.624162;49809;42884;32.07;2319;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.351
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;27;0.653986;49803;42866;32.47;2334;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.399
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;28;0.674364;49796;42852;32.20;2324;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.399
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;29;0.704253;49792;42850;33.34;2366;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.446
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;30;0.723882;49793;42849;32.61;2339;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.446
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;31;0.754376;49794;42853;32.23;2325;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.494
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;32;0.774130;49789;42850;32.15;2322;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.494
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;33;0.804829;49792;42856;31.93;2314;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.542
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;34;0.825407;49798;42858;33.32;2365;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.542
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;35;0.855132;49796;42872;32.61;2339;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.590
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;36;0.875758;49798;42868;32.61;2339;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.590
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;37;0.905447;49795;42871;32.36;2330;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.638
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;38;0.925449;49803;42878;31.56;2300;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.638
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;39;0.955561;49803;42875;32.07;2319;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.734
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;40;0.976011;49804;42871;32.42;2332;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.734
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;41;1.005986;49801;42876;32.55;2337;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.734
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;42;1.026027;49802;42880;31.64;2303;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.782
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;43;1.056331;49799;42880;32.53;2336;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.782
LONG_SIN_CROTAL_20260609_111757;SIN_CROTAL;LONG_SIN_CROTAL_20260609_111757;long;;larga_manual;44;1.076030;49802;42875;32.12;2321;63;63;4;400;411;16384;50;0;68;68;;confirmada;2026-06-09T11:17:59.840
