id;modo;bloque;inicio_s;fin_s;bpm_medio_10s
SIN_CROTAL;scheduled;1;0;10;
SIN_CROTAL;scheduled;2;10;20;
SIN_CROTAL;scheduled;3;20;30;
SIN_CROTAL;scheduled;4;30;40;
SIN_CROTAL;scheduled;5;40;50;
SIN_CROTAL;scheduled;6;50;60;
SIN_CROTAL;scheduled;7;60;70;
SIN_CROTAL;scheduled;8;70;80;
SIN_CROTAL;scheduled;9;80;90;
SIN_CROTAL;scheduled;10;90;100;
SIN_CROTAL;scheduled;11;100;110;
SIN_CROTAL;scheduled;12;110;120;
SIN_CROTAL;scheduled;13;120;130;
SIN_CROTAL;scheduled;14;130;140;
SIN_CROTAL;scheduled;15;140;150;
SIN_CROTAL;scheduled;16;150;160;
SIN_CROTAL;scheduled;17;160;170;
SIN_CROTAL;scheduled;18;170;180;
SIN_CROTAL;scheduled;19;180;190;
SIN_CROTAL;scheduled;20;190;200;
SIN_CROTAL;scheduled;21;200;210;
SIN_CROTAL;scheduled;22;210;220;
SIN_CROTAL;scheduled;23;220;230;
SIN_CROTAL;scheduled;24;230;240;
SIN_CROTAL;scheduled;25;240;250;
SIN_CROTAL;scheduled;26;250;260;
SIN_CROTAL;scheduled;27;260;270;
SIN_CROTAL;scheduled;28;270;280;
SIN_CROTAL;scheduled;29;280;290;
SIN_CROTAL;scheduled;30;290;300;
SIN_CROTAL;scheduled;31;300;310;
SIN_CROTAL;scheduled;32;310;320;
SIN_CROTAL;scheduled;33;320;330;
SIN_CROTAL;scheduled;34;330;340;
SIN_CROTAL;scheduled;35;340;350;
SIN_CROTAL;scheduled;36;350;360;
