session_id;id;base_name;modo;bloque;inicio_s;fin_s;bpm_medio_10s
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;1;0;10;79.86
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;2;10;20;80.85
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;3;20;30;79.83
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;4;30;40;77.04
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;5;40;50;79.06
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;6;50;60;75.97
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;7;60;70;78.88
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;8;70;80;82.85
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;9;80;90;79.86
BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;marco_no_oveja;BLOQUE_12CFG_marco_no_oveja_20260603_102305_CFG001_3M_01_-_RED31_IR31_AVG1_ADC16384;experimento_3m;10;90;100;82.52
