id;modo;bloque;inicio_s;fin_s;bpm_medio_10s
dedo_sin_vacio;scheduled;1;0;10;
dedo_sin_vacio;scheduled;2;10;20;
dedo_sin_vacio;scheduled;3;20;30;
dedo_sin_vacio;scheduled;4;30;40;65.80
dedo_sin_vacio;scheduled;5;40;50;59.34
dedo_sin_vacio;scheduled;6;50;60;
dedo_sin_vacio;scheduled;7;60;70;
dedo_sin_vacio;scheduled;8;70;80;
dedo_sin_vacio;scheduled;9;80;90;
dedo_sin_vacio;scheduled;10;90;100;
dedo_sin_vacio;scheduled;11;100;110;
dedo_sin_vacio;scheduled;12;110;120;
dedo_sin_vacio;scheduled;13;120;130;
dedo_sin_vacio;scheduled;14;130;140;66.70
dedo_sin_vacio;scheduled;15;140;150;
dedo_sin_vacio;scheduled;16;150;160;67.63
dedo_sin_vacio;scheduled;17;160;170;63.45
dedo_sin_vacio;scheduled;18;170;180;
dedo_sin_vacio;scheduled;19;180;190;
dedo_sin_vacio;scheduled;20;190;200;
dedo_sin_vacio;scheduled;21;200;210;
dedo_sin_vacio;scheduled;22;210;220;
dedo_sin_vacio;scheduled;23;220;230;
dedo_sin_vacio;scheduled;24;230;240;
dedo_sin_vacio;scheduled;25;240;250;71.16
dedo_sin_vacio;scheduled;26;250;260;
dedo_sin_vacio;scheduled;27;260;270;
dedo_sin_vacio;scheduled;28;270;280;
dedo_sin_vacio;scheduled;29;280;290;63.49
dedo_sin_vacio;scheduled;30;290;300;
dedo_sin_vacio;scheduled;31;300;310;
dedo_sin_vacio;scheduled;32;310;320;
dedo_sin_vacio;scheduled;33;320;330;
dedo_sin_vacio;scheduled;34;330;340;
dedo_sin_vacio;scheduled;35;340;350;
dedo_sin_vacio;scheduled;36;350;360;
dedo_sin_vacio;scheduled;37;360;370;
dedo_sin_vacio;scheduled;38;370;380;63.16
dedo_sin_vacio;scheduled;39;380;390;
dedo_sin_vacio;scheduled;40;390;400;
dedo_sin_vacio;scheduled;41;400;410;63.08
dedo_sin_vacio;scheduled;42;410;420;
dedo_sin_vacio;scheduled;43;420;430;
dedo_sin_vacio;scheduled;44;430;440;
dedo_sin_vacio;scheduled;45;440;450;
dedo_sin_vacio;scheduled;46;450;460;
dedo_sin_vacio;scheduled;47;460;470;
dedo_sin_vacio;scheduled;48;470;480;
